ENTREZID	SYMBOL	ENSEMBL
9	NAT1	ENSG00000171428
10	NAT2	ENSG00000156006
15	AANAT	ENSG00000129673
16	AARS1	ENSG00000090861
18	ABAT	ENSG00000183044
26	AOC1	ENSG00000002726
30	ACAA1	ENSG00000060971
31	ACACA	ENSG00000275176
31	ACACA	ENSG00000278540
32	ACACB	ENSG00000076555
33	ACADL	ENSG00000115361
34	ACADM	ENSG00000117054
35	ACADS	ENSG00000122971
36	ACADSB	ENSG00000196177
37	ACADVL	ENSG00000072778
38	ACAT1	ENSG00000075239
39	ACAT2	ENSG00000120437
43	ACHE	ENSG00000087085
47	ACLY	ENSG00000131473
48	ACO1	ENSG00000122729
50	ACO2	ENSG00000100412
52	ACP1	ENSG00000143727
54	ACP5	ENSG00000102575
95	ACY1	ENSG00000243989
97	ACYP1	ENSG00000119640
100	ADA	ENSG00000196839
107	ADCY1	ENSG00000164742
108	ADCY2	ENSG00000078295
109	ADCY3	ENSG00000138031
111	ADCY5	ENSG00000173175
112	ADCY6	ENSG00000174233
113	ADCY7	ENSG00000121281
114	ADCY8	ENSG00000155897
115	ADCY9	ENSG00000162104
124	ADH1A	ENSG00000187758
125	ADH1B	ENSG00000196616
126	ADH1C	ENSG00000248144
127	ADH4	ENSG00000198099
130	ADH6	ENSG00000172955
131	ADH7	ENSG00000196344
132	ADK	ENSG00000156110
158	ADSL	ENSG00000239900
159	ADSS2	ENSG00000035687
178	AGL	ENSG00000162688
189	AGXT	ENSG00000172482
191	AHCY	ENSG00000101444
203	AK1	ENSG00000106992
204	AK2	ENSG00000004455
210	ALAD	ENSG00000148218
211	ALAS1	ENSG00000023330
212	ALAS2	ENSG00000158578
216	ALDH1A1	ENSG00000165092
217	ALDH2	ENSG00000111275
218	ALDH3A1	ENSG00000108602
219	ALDH1B1	ENSG00000137124
220	ALDH1A3	ENSG00000184254
223	ALDH9A1	ENSG00000143149
224	ALDH3A2	ENSG00000072210
226	ALDOA	ENSG00000149925
229	ALDOB	ENSG00000136872
230	ALDOC	ENSG00000109107
231	AKR1B1	ENSG00000085662
239	ALOX12	ENSG00000108839
240	ALOX5	ENSG00000012779
240	ALOX5	ENSG00000275565
242	ALOX12B	ENSG00000179477
246	ALOX15	ENSG00000161905
247	ALOX15B	ENSG00000179593
249	ALPL	ENSG00000162551
262	AMD1	ENSG00000123505
270	AMPD1	ENSG00000116748
271	AMPD2	ENSG00000116337
272	AMPD3	ENSG00000133805
275	AMT	ENSG00000145020
276	AMY1A	ENSG00000237763
277	AMY1B	ENSG00000174876
278	AMY1C	ENSG00000187733
279	AMY2A	ENSG00000243480
280	AMY2B	ENSG00000240038
290	ANPEP	ENSG00000166825
316	AOX1	ENSG00000138356
353	APRT	ENSG00000198931
383	ARG1	ENSG00000118520
384	ARG2	ENSG00000081181
410	ARSA	ENSG00000100299
411	ARSB	ENSG00000113273
412	STS	ENSG00000101846
427	ASAH1	ENSG00000104763
435	ASL	ENSG00000126522
438	ASMT	ENSG00000196433
440	ASNS	ENSG00000070669
443	ASPA	ENSG00000108381
445	ASS1	ENSG00000130707
471	ATIC	ENSG00000138363
501	ALDH7A1	ENSG00000164904
549	AUH	ENSG00000148090
570	BAAT	ENSG00000136881
570	BAAT	ENSG00000276559
586	BCAT1	ENSG00000060982
587	BCAT2	ENSG00000105552
593	BCKDHA	ENSG00000248098
594	BCKDHB	ENSG00000083123
622	BDH1	ENSG00000161267
622	BDH1	ENSG00000275544
635	BHMT	ENSG00000145692
644	BLVRA	ENSG00000106605
645	BLVRB	ENSG00000090013
669	BPGM	ENSG00000172331
683	BST1	ENSG00000109743
686	BTD	ENSG00000169814
759	CA1	ENSG00000133742
760	CA2	ENSG00000104267
761	CA3	ENSG00000164879
762	CA4	ENSG00000167434
763	CA5A	ENSG00000174990
765	CA6	ENSG00000131686
766	CA7	ENSG00000168748
768	CA9	ENSG00000107159
771	CA12	ENSG00000074410
790	CAD	ENSG00000084774
833	CARS1	ENSG00000278191
833	CARS1	ENSG00000110619
847	CAT	ENSG00000121691
873	CBR1	ENSG00000159228
874	CBR3	ENSG00000159231
875	CBS	ENSG00000160200
883	KYAT1	ENSG00000171097
883	KYAT1	ENSG00000286112
957	ENTPD5	ENSG00000187097
978	CDA	ENSG00000158825
1036	CDO1	ENSG00000129596
1040	CDS1	ENSG00000163624
1066	CES1	ENSG00000262243
1066	CES1	ENSG00000198848
1103	CHAT	ENSG00000070748
1109	AKR1C4	ENSG00000198610
1118	CHIT1	ENSG00000133063
1119	CHKA	ENSG00000110721
1120	CHKB	ENSG00000100288
1152	CKB	ENSG00000166165
1158	CKM	ENSG00000104879
1159	CKMT1B	ENSG00000237289
1160	CKMT2	ENSG00000131730
1312	COMT	ENSG00000093010
1352	COX10	ENSG00000006695
1355	COX15	ENSG00000014919
1356	CP	ENSG00000047457
